"id","gene"
"bna01100","BnaCnng41640D"
"bna00565","BnaCnng41640D"
"bna00564","BnaCnng41640D"
"bna04130","BnaA06g25340D"
"bna01100","BnaA06g39300D"
"bna01200","BnaA06g39300D"
"bna00030","BnaA06g39300D"
"bna01110","BnaA06g39300D"
"bna00030","BnaA06g39320D"
"bna01200","BnaA06g39320D"
"bna01110","BnaA06g39320D"
"bna01100","BnaA06g39320D"
"bna03250","BnaC07g03770D"
"bna01100","BnaAnng36820D"
"bna01100","BnaA01g32940D"
"bna00270","BnaAnng36820D"
"bna00270","BnaA01g32940D"
"bna00330","BnaAnng36820D"
"bna00330","BnaA01g32940D"
"bna03015","BnaC07g49450D"
"bna01110","BnaA03g60670D"
"bna00941","BnaA03g60670D"
"bna01100","BnaA03g60670D"
"bna04145","BnaA01g19510D"
"bna01110","BnaA06g33410D"
"bna01100","BnaA06g33410D"
"bna00592","BnaA06g33410D"
"bna04075","BnaA06g37300D"
"bna04075","BnaC07g47550D"
"bna03020","BnaA09g54470D"
"bna03020","BnaA03g08930D"
"bna03010","BnaA09g51520D"
"bna00900","BnaA01g18430D"
"bna01110","BnaA01g18430D"
"bna00190","BnaA09g51320D"
"bna01100","BnaA09g51320D"
"bna04144","BnaA09g51310D"
"bna04814","BnaA06g22200D"
"bna04814","BnaC03g75120D"
"bna04814","BnaC03g56170D"
"bna04814","BnaC03g51550D"
"bna04145","BnaA06g22200D"
"bna04145","BnaC03g75120D"
"bna04145","BnaC03g56170D"
"bna04145","BnaC03g51550D"
"bna04070","BnaA09g36050D"
"bna04070","BnaC03g23130D"
"bna04070","BnaA04g02760D"
"bna04070","BnaC04g24860D"
"bna04070","BnaA03g19320D"
"bna04070","BnaA07g16960D"
"bna04070","BnaCnng20380D"
"bna04626","BnaA09g36050D"
"bna04626","BnaC03g23130D"
"bna04626","BnaA04g02760D"
"bna04626","BnaC04g24860D"
"bna04626","BnaA03g19320D"
"bna04626","BnaA07g16960D"
"bna04626","BnaCnng20380D"
"bna04016","BnaA09g36050D"
"bna04016","BnaC03g23130D"
"bna04016","BnaA04g02760D"
"bna04016","BnaC04g24860D"
"bna04016","BnaA03g19320D"
"bna04016","BnaA07g16960D"
"bna04016","BnaCnng20380D"
"bna01100","BnaC03g23390D"
"bna01200","BnaC03g23390D"
"bna03022","BnaA03g19530D"
"bna03022","BnaC03g23420D"
"bna00450","BnaC03g23440D"
"bna03010","BnaA05g17290D"
"bna03010","BnaA07g37750D"
"bna03010","BnaC06g14610D"
"bna03010","BnaCnng31050D"
"bna04141","BnaA04g13880D"
"bna03010","BnaA03g51130D"
"bna03013","BnaA03g51080D"
"bna03040","BnaC04g12230D"
"bna04141","BnaA05g29530D"
"bna04141","BnaA03g31080D"
"bna04141","BnaC03g36410D"
"bna04120","BnaA05g29530D"
"bna04120","BnaA03g31080D"
"bna04120","BnaC03g36410D"
"bna00190","BnaC03g36460D"
"bna00190","BnaA05g29620D"
"bna01100","BnaC03g36460D"
"bna01100","BnaA05g29620D"
"bna03010","BnaA03g32020D"
"bna03010","BnaC03g73560D"
"bna03010","BnaC04g22000D"
"bna03010","BnaA09g38730D"
"bna03010","BnaA07g18810D"
"bna04141","BnaA07g37970D"
"bna04136","BnaA07g38000D"
"bna01110","BnaA07g38160D"
"bna01100","BnaA07g38160D"
"bna00010","BnaA07g38160D"
"bna03018","BnaA07g38150D"
"bna04016","BnaA07g38130D"
"bna04075","BnaA07g38130D"
"bna04120","BnaC06g18190D"
"bna03010","BnaC04g21420D"
"bna03010","BnaA09g39760D"
"bna03010","BnaC08g32090D"
"bna03010","BnaC06g18420D"
"bna03010","BnaA07g19250D"
"bna03010","BnaA04g27270D"
"bna04120","BnaC04g21420D"
"bna04120","BnaA09g39760D"
"bna04120","BnaC08g32090D"
"bna04120","BnaC06g18420D"
"bna04120","BnaA07g19250D"
"bna04120","BnaA04g27270D"
"bna01100","BnaA07g38480D"
"bna00190","BnaA07g38480D"
"bna01100","BnaA07g38430D"
"bna01100","BnaC06g20290D"
"bna04145","BnaA07g38430D"
"bna04145","BnaC06g20290D"
"bna00190","BnaA07g38430D"
"bna00190","BnaC06g20290D"
"bna03022","BnaCnng67730D"
"bna04016","BnaA07g13000D"
"bna04016","BnaC04g54820D"
"bna04070","BnaA07g13000D"
"bna04070","BnaC04g54820D"
"bna04626","BnaA07g13000D"
"bna04626","BnaC04g54820D"
"bna00564","BnaC05g27180D"
"bna01100","BnaC05g27180D"
"bna01110","BnaC05g27180D"
"bna00561","BnaC05g27180D"
"bna00999","BnaC04g43380D"
"bna00460","BnaC04g43380D"
"bna01100","BnaC04g43380D"
"bna00500","BnaC04g43380D"
"bna01110","BnaC04g43380D"
"bna03010","BnaC02g20030D"
"bna03010","BnaA07g38870D"
"bna03010","BnaA02g14450D"
"bna03010","BnaC06g25310D"
"bna03010","BnaA07g24200D"
"bna01100","BnaA07g24600D"
"bna04626","BnaA07g24600D"
"bna00062","BnaA07g24600D"
"bna01110","BnaA07g24600D"
"bna00260","BnaA07g24840D"
"bna00630","BnaA07g24840D"
"bna01200","BnaA07g24840D"
"bna01100","BnaA07g24840D"
"bna01110","BnaA07g24840D"
"bna03420","BnaA07g26000D"
"bna03420","BnaC06g27720D"
"bna03022","BnaA07g26000D"
"bna03022","BnaC06g27720D"
"bna03008","BnaC01g13870D"
"bna03008","BnaA09g20820D"
"bna03008","BnaC03g29670D"
"bna03008","BnaA03g25240D"
"bna03008","BnaA01g12190D"
"bna03008","BnaC09g23090D"
"bna03008","BnaC02g26240D"
"bna03040","BnaC01g13870D"
"bna03040","BnaA09g20820D"
"bna03040","BnaC03g29670D"
"bna03040","BnaA03g25240D"
"bna03040","BnaA01g12190D"
"bna03040","BnaC09g23090D"
"bna03040","BnaC02g26240D"
"bna01100","BnaA07g24020D"
"bna00480","BnaA07g24020D"
"bna00040","BnaAnng14170D"
"bna01100","BnaAnng14170D"
"bna01232","BnaA08g00390D"
"bna01240","BnaA08g00390D"
"bna01100","BnaA08g00390D"
"bna04016","BnaA08g00390D"
"bna01110","BnaA08g00390D"
"bna00240","BnaA08g00390D"
"bna00230","BnaA08g00390D"
"bna00195","BnaA08g00380D"
"bna01100","BnaA08g00380D"
"bna00052","BnaA08g00340D"
"bna01100","BnaA08g00340D"
"bna00920","BnaA08g00140D"
"bna01200","BnaA08g00140D"
"bna01100","BnaA08g00140D"
"bna00270","BnaA08g00140D"
"bna00543","BnaA08g00140D"
"bna01110","BnaA08g00140D"
"bna01230","BnaA08g00140D"
"bna03008","BnaA08g00080D"
"bna03010","BnaA07g30140D"
"bna04016","BnaA07g30430D"
"bna04075","BnaA07g30430D"
"bna04016","BnaA07g39030D"
"bna04075","BnaA07g39030D"
"bna00510","BnaA02g16890D"
"bna01100","BnaA02g16890D"
"bna00563","BnaA02g16890D"
"bna00380","BnaA07g31260D"
"bna01110","BnaA07g31260D"
"bna01100","BnaA07g31260D"
"bna00966","BnaA07g31260D"
"bna01210","BnaA07g31260D"
"bna04626","BnaA07g31710D"
"bna04626","BnaC02g44140D"
"bna04626","BnaA02g03630D"
"bna00906","BnaA02g03450D"
"bna01110","BnaA02g03450D"
"bna01100","BnaA02g03450D"
"bna00220","BnaA02g03140D"
"bna00910","BnaA02g03140D"
"bna01230","BnaA02g03140D"
"bna01100","BnaA02g03140D"
"bna00630","BnaA02g03140D"
"bna00250","BnaA02g03140D"
"bna01212","BnaAnng22560D"
"bna01110","BnaAnng22560D"
"bna00620","BnaAnng22560D"
"bna00640","BnaAnng22560D"
"bna01100","BnaAnng22560D"
"bna00061","BnaAnng22560D"
"bna01200","BnaAnng22560D"
"bna03022","BnaCnng26250D"
"bna03420","BnaCnng26250D"
"bna03010","BnaA07g32060D"
"bna03010","BnaAnng19390D"
"bna01100","BnaA07g31890D"
"bna00061","BnaA07g31890D"
"bna00780","BnaA07g31890D"
"bna01212","BnaA07g31890D"
"bna01240","BnaA07g31890D"
"bna04075","BnaA07g31880D"
"bna04075","BnaA07g31820D"
"bna00900","BnaA07g39140D"
"bna01110","BnaA07g39140D"
"bna00906","BnaA07g39250D"
"bna01110","BnaA07g39250D"
"bna01100","BnaA07g39250D"
"bna00500","BnaA01g06030D"
"bna01100","BnaA01g06030D"
"bna00970","BnaA01g06010D"
"bna01100","BnaA01g05960D"
"bna00480","BnaA01g05960D"
"bna03050","BnaA08g12550D"
"bna03050","BnaC01g07210D"
