ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0004518,NA,0.01562774363476734,284/22168,7.370854334050756e-5,0.0036921279436926972,0.0035690452564877346,,BnaC04g04170D/BnaCnng26070D/BnaC08g13800D/BnaA06g01920D/BnaC03g70170D/BnaA09g28140D/BnaA05g35260D/BnaC05g37130D/BnaA09g09170D/BnaAnng03800D/BnaA02g34330D/BnaA09g39590D/BnaA05g12760D/BnaC05g15250D/BnaCnng09520D/BnaA09g38400D/BnaA09g15460D/BnaAnng27360D/BnaC02g23590D/BnaAnng28620D/BnaCnng13900D,178,1.2198444397729662,0.6267605633802817
GO:0140142,NA,0.0033362598770851626,49/22168,1.4764619832823806e-4,0.007178210759899339,0.006938914212454036,,BnaC08g48070D/BnaC01g20230D/BnaAnng11870D/BnaC02g03390D/BnaC07g50410D/BnaA08g06090D/BnaA01g17690D/BnaC01g22030D,38,1.5093512031678344,0.7755102040816326
GO:0008170,NA,0.007989464442493415,136/22168,1.6892141101197217e-4,0.007975801944662915,0.007709916484858984,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g51980D/BnaC05g32500D/BnaA01g35410D/BnaA09g35780D/BnaC05g32210D/BnaA02g30530D/BnaC06g27570D/BnaC05g40790D/BnaC08g39970D/BnaA03g47570D,91,1.3022827041264267,0.6691176470588235
GO:0016273,NA,0.0026338893766461808,37/22168,1.7852672229433023e-4,0.007975801944662915,0.007709916484858984,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC05g32500D/BnaA01g35410D/BnaA02g30530D/BnaC05g40790D,30,1.5780556676079063,0.8108108108108109
GO:0016274,NA,0.0026338893766461808,37/22168,1.7852672229433023e-4,0.007975801944662915,0.007709916484858984,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC05g32500D/BnaA01g35410D/BnaA02g30530D/BnaC05g40790D,30,1.5780556676079063,0.8108108108108109
GO:0003743,NA,0.009306409130816505,162/22168,1.9863739767448022e-4,0.00864072679883989,0.008352675060106953,,BnaC05g08330D/BnaCnng36550D/BnaC08g43770D/BnaUnng00080D/BnaA07g04550D/BnaC03g66710D/BnaC01g19290D/BnaA09g50640D/BnaC04g29650D/BnaA09g47800D/BnaA03g50490D/BnaA09g35240D/BnaC09g23910D/BnaC02g08730D/BnaA08g11850D/BnaC04g47390D/BnaA08g27720D/BnaA08g29940D/BnaC08g12430D/BnaA10g02410D,106,1.273484429703335,0.654320987654321
GO:0016830,NA,0.007023705004389816,118/22168,2.1312449656644e-4,0.008867617651799088,0.008572002162212895,,BnaA04g27920D/BnaCnng25300D/BnaC04g05700D/BnaC08g43060D/BnaA06g19240D/BnaA03g01690D/BnaA03g10990D/BnaC02g33660D/BnaC06g27330D/BnaA02g27140D/BnaC04g26270D/BnaC03g44420D/BnaA07g15900D/BnaA03g18710D,80,1.319504174045029,0.6779661016949152
GO:0004519,NA,0.007901668129938543,135/22168,2.2268724252646015e-4,0.008867617651799088,0.008572002162212895,,BnaC04g04170D/BnaCnng26070D/BnaC08g13800D/BnaA06g01920D/BnaC03g70170D/BnaA09g28140D/BnaC05g37130D/BnaA09g09170D/BnaAnng27360D/BnaAnng28620D,90,1.2975124378109455,0.6666666666666666
GO:0031267,NA,0.0032484635645302897,48/22168,2.2531151928346143e-4,0.008867617651799088,0.008572002162212895,,BnaC01g20230D/BnaAnng11870D/BnaC07g50410D,37,1.5002487562189055,0.7708333333333334
GO:0051020,NA,0.0032484635645302897,48/22168,2.2531151928346143e-4,0.008867617651799088,0.008572002162212895,,BnaC01g20230D/BnaAnng11870D/BnaC07g50410D,37,1.5002487562189055,0.7708333333333334
GO:0008097,NA,0.002019315188762072,27/22168,2.606203594383403e-4,0.009668782360769464,0.009346458829972966,,BnaC01g15340D/BnaC05g31860D/BnaA01g24680D/BnaC07g16510D/BnaA01g13300D,23,1.6579325594250969,0.8518518518518519
GO:0009982,NA,0.002897278314310799,42/22168,2.6096685189579664e-4,0.009668782360769464,0.009346458829972966,,BnaC08g42540D/BnaC03g16800D/BnaCnng35560D/BnaC09g43050D/BnaC03g16060D,33,1.5292110874200426,0.7857142857142857
GO:0050661,NA,0.004828797190517998,77/22168,2.648791405592533e-4,0.009668782360769464,0.009346458829972966,,BnaC05g49480D/BnaC01g41040D/BnaC05g09210D/BnaC04g49400D/BnaA01g34990D/BnaC09g15440D/BnaA01g35850D/BnaC05g12400D/BnaA06g10900D/BnaC08g41540D/BnaC09g36820D/BnaA06g07790D,55,1.3901918976545842,0.7142857142857143
GO:0008757,NA,0.01369622475856014,250/22168,2.6906472389316114e-4,0.009668782360769464,0.009346458829972966,,BnaA05g26770D/BnaA06g24800D/BnaC05g02910D/BnaCnng21620D/BnaC04g51980D/BnaC04g49360D/BnaC05g32500D/BnaA01g35410D/BnaC09g43310D/BnaC09g42900D/BnaA09g35780D/BnaC09g32470D/BnaC05g32210D/BnaA02g30530D/BnaC06g27540D/BnaC06g27570D/BnaC05g40790D/BnaA01g29950D/BnaC03g14720D/BnaC08g39970D/BnaA03g47600D/BnaA03g47570D/BnaC06g18830D,156,1.2144716417910448,0.624
GO:0034061,NA,0.003160667251975417,47/22168,3.41945167635348e-4,0.012026284300026174,0.011625369864959873,,BnaC04g54440D/BnaC08g14330D/BnaA01g35740D/BnaC08g45280D/BnaC02g17390D/BnaAnng02250D/BnaC01g27250D,36,1.4907589711019371,0.7659574468085106
GO:0016423,NA,0.001755926251097454,23/22168,3.879977134033317e-4,0.013361671255327235,0.012916239669874069,,BnaA09g35780D,20,1.692407527579494,0.8695652173913043
GO:0008139,NA,0.0019315188762071994,26/22168,4.359684022943904e-4,0.014707260591686274,0.014216971743993227,,BnaC08g48070D/BnaC01g20230D/BnaAnng11870D/BnaC02g03390D/BnaC07g50410D/BnaA08g06090D/BnaA01g17690D/BnaC01g22030D/BnaA08g15500D,22,1.6468427095292768,0.8461538461538461
GO:0004521,NA,0.005794556628621598,97/22168,6.332979262670255e-4,0.020936829442387866,0.020238868464702,,BnaC08g13800D/BnaA06g01920D/BnaC03g70170D/BnaA09g28140D/BnaC05g37130D/BnaAnng27360D/BnaAnng28620D,66,1.324265271580243,0.6804123711340206
GO:0004540,NA,0.011325724319578578,206/22168,7.098153900199053e-4,0.023006369405939284,0.02223941717337908,,BnaC08g13800D/BnaA06g01920D/BnaC03g70170D/BnaA09g28140D/BnaA05g35260D/BnaC05g37130D/BnaA09g09170D/BnaA02g34330D/BnaA09g39590D/BnaA05g12760D/BnaA09g38400D/BnaAnng27360D/BnaC02g23590D/BnaAnng28620D,129,1.2187798869729025,0.6262135922330098
GO:0061608,NA,0.002019315188762072,28/22168,7.467829255560821e-4,0.023739080306619302,0.02294770204441564,,BnaC08g48070D/BnaC01g20230D/BnaAnng11870D/BnaC02g03390D/BnaC07g50410D/BnaA08g06090D/BnaA01g17690D/BnaC01g22030D,23,1.598720682302772,0.8214285714285714
