Gen,Gen ID
BnaC04g44000D,GSBRNA2T00024045001
BnaC04g02020D,GSBRNA2T00024250001
BnaC04g01930D,GSBRNA2T00024261001
BnaC02g29610D,GSBRNA2T00024361001
BnaC03g17600D,GSBRNA2T00024433001
BnaC03g17450D,GSBRNA2T00024450001
BnaC03g16960D,GSBRNA2T00024511001
BnaC03g16950D,GSBRNA2T00024512001
BnaA06g00780D,GSBRNA2T00024623001
BnaA06g00850D,GSBRNA2T00024634001
BnaC03g57320D,GSBRNA2T00024727001
BnaCnng33300D,GSBRNA2T00024806001
BnaC03g12430D,GSBRNA2T00024844001
BnaA01g32310D,GSBRNA2T00024978001
BnaC07g50650D,GSBRNA2T00025043001
BnaAnng39990D,GSBRNA2T00025070001
BnaAnng15470D,GSBRNA2T00025176001
BnaAnng40060D,GSBRNA2T00025211001
BnaAnng15750D,GSBRNA2T00025496001
BnaA01g34990D,GSBRNA2T00025604001
BnaC08g48490D,GSBRNA2T00025623001
BnaCnng76580D,GSBRNA2T00025818001
BnaAnng16000D,GSBRNA2T00025876001
BnaCnng35000D,GSBRNA2T00026158001
BnaC03g72040D,GSBRNA2T00026174001
BnaCnng35030D,GSBRNA2T00026194001
BnaCnng35100D,GSBRNA2T00026204001
BnaC01g37680D,GSBRNA2T00026279001
BnaC01g37690D,GSBRNA2T00026282001
BnaA07g02540D,GSBRNA2T00026530001
BnaA07g02890D,GSBRNA2T00026577001
BnaC05g35150D,GSBRNA2T00026692001
BnaC05g34660D,GSBRNA2T00026775001
BnaA01g22040D,GSBRNA2T00026798001
BnaA01g22540D,GSBRNA2T00026867001
BnaC05g32390D,GSBRNA2T00026878001
BnaC05g32840D,GSBRNA2T00026945001
BnaA05g30420D,GSBRNA2T00027018001
BnaA05g30610D,GSBRNA2T00027039001
BnaA05g30630D,GSBRNA2T00027041001
BnaA05g30680D,GSBRNA2T00027046001
BnaA05g30730D,GSBRNA2T00027052001
BnaA08g15200D,GSBRNA2T00027241001
BnaA08g14920D,GSBRNA2T00027285001
BnaAnng16110D,GSBRNA2T00027512001
BnaC07g51130D,GSBRNA2T00027603001
BnaC07g51140D,GSBRNA2T00027605001
BnaC07g51170D,GSBRNA2T00027608001
BnaA03g59170D,GSBRNA2T00027623001
BnaC08g49310D,GSBRNA2T00027660001
BnaC03g75540D,GSBRNA2T00027770001
BnaA07g36300D,GSBRNA2T00027975001
BnaA02g37020D,GSBRNA2T00027985001
BnaA02g37030D,GSBRNA2T00027986001
BnaA09g52390D,GSBRNA2T00028067001
BnaCnng35700D,GSBRNA2T00028142001
BnaA07g38980D,GSBRNA2T00028223001
BnaA03g55790D,GSBRNA2T00028368001
BnaC05g49310D,GSBRNA2T00028399001
BnaA03g59800D,GSBRNA2T00028621001
BnaC01g29820D,GSBRNA2T00029395001
BnaC01g30110D,GSBRNA2T00029451001
BnaA05g19070D,GSBRNA2T00029504001
BnaCnng77870D,GSBRNA2T00030053001
BnaC05g50770D,GSBRNA2T00030085001
BnaA01g37280D,GSBRNA2T00030094001
BnaA08g29530D,GSBRNA2T00030126001
BnaA01g34770D,GSBRNA2T00030127001
BnaCnng36960D,GSBRNA2T00030155001
BnaAnng41330D,GSBRNA2T00030184001
BnaC03g77620D,GSBRNA2T00030212001
BnaAnng17380D,GSBRNA2T00030459001
BnaA07g38540D,GSBRNA2T00030462001
BnaA07g38550D,GSBRNA2T00030463001
BnaC06g41110D,GSBRNA2T00030521001
BnaC06g41140D,GSBRNA2T00030525001
BnaC05g49050D,GSBRNA2T00030626001
BnaAnng17420D,GSBRNA2T00030701001
BnaA02g26590D,GSBRNA2T00030811001
BnaA02g26330D,GSBRNA2T00030850001
BnaC02g20100D,GSBRNA2T00030983001
BnaC05g23780D,GSBRNA2T00031136001
BnaC05g23730D,GSBRNA2T00031147001
BnaC05g23720D,GSBRNA2T00031148001
