gene_id,VMrep1,VMrep2,VMrep3,Trep1,Trep2,Trep3
ENSRNA049439921,0,0,0,0,0,0
ENSRNA049439954,0,0,0,0,0,0
ENSRNA049439967,0,0,0,0,0,0
ENSRNA049439974,0,0,0,0,0,0
ENSRNA049439984,0,0,0,0,0,0
ENSRNA049440000,0,0,0,0,0,0
ENSRNA049440009,0,0,0,0,0,0
ENSRNA049440039,0,0,0,0,0,0
ENSRNA049440056,0,0,0,0,0,0
ENSRNA049440073,0,0,0,0,0,0
ENSRNA049440080,1,0,3,0,0,0
ENSRNA049440084,0,0,0,0,0,0
ENSRNA049440090,6,0,3,0,0,0
ENSRNA049440096,14,24,12,0,19,0
ENSRNA049440106,0,0,2,0,0,0
ENSRNA049440112,0,0,0,0,0,0
ENSRNA049440124,0,0,0,0,0,1
ENSRNA049440130,0,0,0,0,0,0
ENSRNA049440135,0,0,0,0,0,0
ENSRNA049440151,0,0,0,0,0,0
ENSRNA049440165,0,0,0,0,0,0
ENSRNA049440179,0,0,0,0,0,0
ENSRNA049440187,0,0,0,0,0,0
ENSRNA049440197,0,0,0,0,0,0
ENSRNA049440207,0,0,0,0,0,0
ENSRNA049440222,0,0,0,0,0,0
ENSRNA049440235,0,0,0,0,0,0
ENSRNA049440277,0,0,0,0,0,0
ENSRNA049440289,0,0,0,0,0,0
ENSRNA049440300,0,0,0,0,0,0
ENSRNA049440307,0,0,0,0,0,0
ENSRNA049440331,0,0,0,0,0,0
ENSRNA049440337,0,0,0,0,0,0
ENSRNA049440370,1,0,0,0,0,0
ENSRNA049440401,0,0,0,0,0,0
ENSRNA049440408,0,0,0,0,0,0
ENSRNA049440417,0,0,0,0,0,0
ENSRNA049440424,0,0,0,0,0,0
ENSRNA049440442,0,0,0,0,0,0
ENSRNA049440451,0,0,0,0,0,0
ENSRNA049440462,0,0,0,0,0,0
ENSRNA049440469,0,0,0,0,0,4
ENSRNA049440483,0,0,0,0,0,0
ENSRNA049440514,0,0,0,0,0,0
ENSRNA049440524,0,0,0,0,0,0
ENSRNA049440538,0,0,0,0,0,0
ENSRNA049440546,0,0,0,0,0,0
ENSRNA049440556,0,0,0,0,0,0
ENSRNA049440583,0,0,0,0,0,1
ENSRNA049440597,0,0,0,0,0,0
ENSRNA049440665,0,0,0,0,0,0
ENSRNA049440678,0,0,0,0,0,0
ENSRNA049440687,0,0,0,0,0,0
ENSRNA049440707,0,0,0,0,0,0
ENSRNA049440746,0,0,0,0,0,0
ENSRNA049440774,0,0,0,0,0,0
ENSRNA049440780,0,0,0,0,0,0
ENSRNA049440798,0,0,0,0,0,0
ENSRNA049440810,0,0,0,0,0,0
ENSRNA049440846,0,0,0,0,0,0
ENSRNA049440854,0,0,0,0,0,0
ENSRNA049440867,0,0,0,0,0,0
ENSRNA049440912,0,0,0,0,0,0
ENSRNA049440938,0,0,0,0,0,0
ENSRNA049440964,0,0,0,0,0,0
ENSRNA049440974,0,0,0,0,0,0
ENSRNA049440999,0,0,0,0,0,1
ENSRNA049441026,0,0,0,0,0,0
ENSRNA049441034,0,0,0,0,0,0
ENSRNA049441045,0,0,0,0,0,0
ENSRNA049441054,0,0,0,0,0,0
ENSRNA049441067,0,0,0,0,0,0
ENSRNA049441079,0,0,0,0,0,0
ENSRNA049441087,0,0,0,0,0,0
ENSRNA049441096,0,0,0,0,0,0
ENSRNA049441103,0,0,0,0,0,1
ENSRNA049441111,0,0,0,0,0,0
ENSRNA049441127,0,0,0,0,0,0
ENSRNA049441143,0,0,0,0,0,0
ENSRNA049441179,0,0,0,0,0,0
ENSRNA049441193,0,0,0,0,0,0
ENSRNA049441201,0,0,0,0,0,0
ENSRNA049441219,0,0,0,0,0,0
ENSRNA049441237,0,0,0,0,0,0
ENSRNA049441275,0,0,0,0,0,0
ENSRNA049441285,0,0,0,0,0,0
ENSRNA049441290,0,0,0,0,0,0
ENSRNA049441325,0,0,0,0,0,0
ENSRNA049441336,0,5,0,0,0,0
ENSRNA049441344,0,0,0,0,0,0
ENSRNA049441354,0,0,0,0,0,0
ENSRNA049441360,0,0,0,0,0,0
ENSRNA049441390,0,0,0,0,0,0
ENSRNA049441433,0,0,0,0,0,0
ENSRNA049441445,0,0,0,0,0,0
ENSRNA049441454,0,0,0,0,0,0
ENSRNA049441458,0,0,0,0,0,0
ENSRNA049441476,0,0,0,0,0,0
ENSRNA049441506,0,2,0,0,0,0
ENSRNA049441522,0,0,0,0,0,0
ENSRNA049441529,0,2,2,0,0,0
ENSRNA049441539,0,0,0,0,0,0
ENSRNA049441551,0,0,0,0,0,0
ENSRNA049441559,0,0,0,0,0,0
ENSRNA049441565,0,0,0,0,0,0
ENSRNA049441578,0,1,0,0,0,0
ENSRNA049441596,0,0,0,0,0,0
ENSRNA049441607,0,0,0,0,0,0
ENSRNA049441617,5,4,3,0,0,1
ENSRNA049441633,5,2,0,0,0,0
ENSRNA049441656,0,3,0,0,0,0
